time_hours,phase,reduced_phase,target_phase,zeitgeber
227.5,3.381055037221932,3.424086637050586,1.4398966328953218,0.06715016668979022
227.66666666666666,3.39825686271731,3.456107946410404,1.4835298641951775,0.07427883700721562
227.83333333333331,3.415286318532591,3.48850420080645,1.5271630954950333,0.0820552500876033
228.0,3.43225180718747,3.5213062398615724,1.5707963267948966,0.09050626722641066
228.16666666666666,3.449259421235038,3.554544451667835,1.6144295580947523,0.09965769362856984
228.33333333333331,3.466413585469717,3.5882484867697877,1.6580627893946083,0.109533832382597
228.5,3.483817672156034,3.6224469303029565,1.7016960206944713,0.12015701730910795
228.66666666666666,3.5015745692370572,3.6571669321757123,1.7453292519943269,0.13154712930957113
228.83333333333331,3.5197871819324296,3.692433796315393,1.7889624832941828,0.14372110145722589
229.0,3.538558847051743,3.7282705313587607,1.832595714594046,0.15669241867033198
229.16666666666666,3.5579936368600844,3.7646973667594326,1.8762289458939019,0.17047061837198624
229.33333333333331,3.5781965255650725,3.801731240104501,1.9198621771937576,0.18506079905300016
229.5,3.599273386608048,3.83938526345688,1.9634954084936205,0.20046314409673513
229.66666666666666,3.62133078318106,3.8776681787263683,2.007128639793476,0.2166724685794815
229.83333333333331,3.6444755081551703,3.9165838143525797,2.050761871093332,0.2336777970092963
230.0,3.668813821335277,3.956130557860655,2.0943951023931953,0.2514619800937698
230.16666666666666,3.694450847470079,3.9963008610009747,2.1380283336930512,0.2700238725454937
230.33333333333331,3.7214885181149895,4.037081372958184,2.181661564992907,0.2893114134594811
230.5,3.7500231526702543,4.0784513823887565,2.2252947962927703,0.30928807011813947
230.66666666666666,3.780143421639158,4.1203831582386,2.268928027592626,0.3299101992948742
230.83333333333331,3.8119273056555176,4.162841777400656,2.3125612588924818,0.35112699910805106
231.0,3.845438518399934,4.205785084170567,2.356194490192345,0.37288054332852816
231.16666666666666,3.880722459794387,4.249163798594321,2.399827721492201,0.3951059029705593
231.33333333333331,3.917801828136795,4.292921787288532,2.4434609527920563,0.4177313588363538
231.5,3.956672106218955,4.33699650557671,2.4870941840919194,0.4406787073803215
231.66666666666666,3.9972972337815795,4.381319613937796,2.5307274153917754,0.46386366082911695
231.83333333333331,4.0396058744855186,4.425817765032512,2.574360646691631,0.4871963409605622
232.0,4.083488760747343,4.470413550295921,2.6179938779914944,0.5105818643349678
